date,teacher,genre,song,city,venue
2025-09-21,唐不苦,KPOP/MV,riize - honestly,北京,Gsteps安贞门
2025-09-27,小黑,HOUSE,,北京,PureSoul
2025-10-05,唐不苦,KPOP/MV,riize - get a guitar,北京,Gsteps安贞门
2025-10-05,唐不苦,KPOP/MV,riize - get a guitar,北京,Gsteps安贞门
2025-10-11,佩琪,KPOP/MV,XG - GALA,北京,Gsteps朝阳大悦城
2025-10-11,佩琪,KPOP/MV,XG - GALA,北京,Gsteps朝阳大悦城
2025-10-25,佩琪,KPOP/MV,XG - Shooting Star,北京,Gsteps朝阳大悦城
2025-10-25,佩琪,KPOP/MV,XG - Shooting Star,北京,Gsteps朝阳大悦城
2025-11-01,佩琪,KPOP/MV,XG - Undefeated,北京,Gsteps朝阳大悦城
2025-11-01,佩琪,KPOP/MV,XG - Undefeated,北京,Gsteps朝阳大悦城
2025-11-15,佩琪,KPOP/MV,XG - IYKYK,北京,Gsteps朝阳大悦城
2025-11-15,佩琪,KPOP/MV,XG - IYKYK,北京,Gsteps朝阳大悦城
2025-12-06,佩琪,KPOP/MV,Kiss of Life - Lucky,北京,Gsteps朝阳大悦城
2025-12-06,佩琪,KPOP/MV,Kiss of Life - Lucky,北京,Gsteps朝阳大悦城
2026-01-02,小钰,KPOP/MV,Dreams Come True,北京,Gsteps双井富力店
2026-01-02,小钰,KPOP/MV,Dreams Come True,北京,Gsteps双井富力店
2026-01-11,九九,KPOP/MV,说出愿望吧,北京,Gsteps双井富力店
2026-01-11,九九,KPOP/MV,说出愿望吧,北京,Gsteps双井富力店
2026-01-28,糖糖,KPOP/MV,Apink - Love Me More,北京,Gsteps国贸店
2026-01-28,糖糖,KPOP/MV,Apink - Love Me More,北京,Gsteps国贸店
2026-03-07,诗宇,KPOP/MV,Rude,北京,Gsteps崇文门店
2026-03-21,Heesi,CHOREO,花 - 藤井风,北京,Gsteps大望路店Pro
2026-03-21,Heesi,CHOREO,花 - 藤井风,北京,Gsteps大望路店Pro
2026-04-02,四火,KPOP/MV,TWS - Over Drive,北京,Gsteps国贸店
2026-04-02,四火,KPOP/MV,TWS - Over Drive,北京,Gsteps国贸店
2026-04-04,兔兔子,KPOP/MV,Delulu,北京,Gsteps双井富力店
2026-04-04,兔兔子,KPOP/MV,Delulu,北京,Gsteps双井富力店
2026-04-11,四火,KPOP/MV,Like A Flower（裴珠泫）,北京,Gsteps国贸店
2026-04-11,四火,KPOP/MV,Like A Flower（裴珠泫）,北京,Gsteps国贸店
